,recommend_sentence,annotation,labels,type,WrongTime
0,"it was nice talking to you , good bye",1,0,acknowledgment,23
42,Good bye i see you later,1,0,acknowledgment,23
246,No I havent seen the new one,1,6,personal_experience,23
254,No :( I haven‚Äôt watched any in a supe long time,1,6,personal_experience,23
281,No I have not seen that one either.  I guess I have a few to look into.  I really liked Annabelle  (2014) though.,1,7,personal_opinion,23
282,"Grand Hotel  (1932) is another favorite old movie of mine, though it doesn't have the same hard-boiled feel to it",1,7,personal_opinion,23
295,I really enjoy movies like The Avengers  (2012) and Iron Man  (2008). Recently we watched Spider-Man: Homecoming (2017) and it was great!,1,7,personal_opinion,23
325,"hahahaa, those are old movies but if you see them again you laugh so much",1,7,personal_opinion,23
345,May I reccomend some comedies such as Kingpin  (1996) or Superbad  (2007) ?,1,8,preference_confirmation,23
431,im a movie expert!,1,10,self_modeling,23
463,Yes that was a great movie.,1,11,similarity,23
464,I watched it too.,1,11,similarity,23
470,Me too!!!!,1,11,similarity,23
478,Yes! I love Beetlejuice (1988) too.,1,11,similarity,23
578,"Great, anytime!",1,0,acknowledgment,23
607,A Quiet Place (2018) is horror and No Country for Old Men  (2007) is kind of a horror thriller.,1,1,credibility,23
694,"Awesome, have you tried the new Beauty and the Beast  (2017)",1,3,experience_inquiry,23
746,you like?,1,5,opinion_inquiry,23
773,Hello what kind of movies are you looking for?,1,5,opinion_inquiry,23
781,I have't seen Jurassic Park,1,6,personal_experience,23
805,I never even heard of it,1,6,personal_experience,23
809,I seriously slept through Captain America: Civil War (2016) both times I watched it.,1,6,personal_experience,23
823,Yes Police Academy  (1984) is very funny and so is Police Academy 2: Their First Assignment (1985),1,7,personal_opinion,23
840,one of my favorites from him is The Astronaut's Wife (1999),1,7,personal_opinion,23
841,It is very creepy and dark but full of suspense,1,7,personal_opinion,23
850,Creed  (2015) is an awesome movie as well. I love boxing movies,1,7,personal_opinion,23
893,maybe action movies like Hot Fuzz (2007) ?,1,8,preference_confirmation,23
938,"Ok, I will have to check it out.",1,10,self_modeling,23
1006,"I liked it too, it was very interesting",1,11,similarity,23
1010,"Yeah, i think that's one of the best i have ever seen",1,11,similarity,23
32,your welcome,1,0,acknowledgment,22
149,"Okay, let me think...",1,4,offer_help,22
153,Let me think here..,1,4,offer_help,22
231,What about Black Panther (2018),1,5,opinion_inquiry,22
241,I haven‚Äôt seen blade runner,1,6,personal_experience,22
255,I saw a movie a few years ago Brooklyn  (2015)  that I have been telling everyone about.,1,6,personal_experience,22
261,I saw Peter Rabbit (2018) with my daughter she loved it,1,6,personal_experience,22
293,Tommy Boy (1995)  and Black Sheep  (1996) are 2 all time favorites.,1,7,personal_opinion,22
301,Samuel Jackson made the movie great !,1,7,personal_opinion,22
309,it was very good. and not too scary or gruesome for someone who doesn't normally watch  them,1,7,personal_opinion,22
321,"Also, Halloween  (1978) is a classic. It's the best horror movie.",1,7,personal_opinion,22
322,i really like Captain America: Civil War (2016) Also,1,7,personal_opinion,22
354,or maybe The Nice Guys (2016) ?,1,8,preference_confirmation,22
471,Me too love comedy,1,11,similarity,22
634,Have a good evening and enjoy those movies,1,2,encouragement,22
738,Do you not like scary movies?,1,5,opinion_inquiry,22
748,What kind of movie are you looking for now?,1,5,opinion_inquiry,22
754,Well that one definitely isn't funny.  How about Black Sheep  (1996)  or another classic Uncle Buck,1,5,opinion_inquiry,22
843,I love a good Steven King movie,1,7,personal_opinion,22
863,So funny and just ridiculous.,1,7,personal_opinion,22
864,I really love Chris Farley's movies Tommy Boy (1995) is an all time favorite,1,7,personal_opinion,22
875,Which once that I recommended would you like to watch?,1,8,preference_confirmation,22
877,Then might I recommend Last Action Hero (1993) starring Arnold Schwarzenegger?,1,8,preference_confirmation,22
884,Will you watch it?,1,8,preference_confirmation,22
895,Is that enough family friendly and adventure films for you?,1,8,preference_confirmation,22
919,So you like the old ones then.,1,9,rephrase_preference,22
1000,"Me too, buddy.",1,11,similarity,22
1003,Yes! Me too! I wound up liking Ant-Man  (2015) more than I thought I would!,1,11,similarity,22
150,Oh okay. Let me think...,1,4,offer_help,21
186,i can help you,1,4,offer_help,21
242,Yes I seen hellboy!,1,6,personal_experience,21
273,i havent seen it,1,6,personal_experience,21
300,"Likewise, Alpacino is great.",1,7,personal_opinion,21
310,The Others  (2001) is pretty creepy,1,7,personal_opinion,21
312,Get Out (2017) was so good.,1,7,personal_opinion,21
352,or maybe Grease 2 (1982)  ?,1,8,preference_confirmation,21
472,"Yes, that was funny!",1,11,similarity,21
473,Me too. Variety.,1,11,similarity,21
475,I agree,1,11,similarity,21
582,"Thank you too.  You have a great day, good bye.",1,0,acknowledgment,21
591,It is action packed with great fight scenes.,1,1,credibility,21
641,You might love Deadpool  (2016) !,1,2,encouragement,21
857,I love that movie.,1,7,personal_opinion,21
901,Would like to know a comedy or something more serious like the Godfather  (1991)?,1,8,preference_confirmation,21
945,Lol ahhh I‚Äôm still excited to see it!,1,10,self_modeling,21
986,I loved that as well,1,11,similarity,21
990,I like that movie too.,1,11,similarity,21
1015,I haven't either but I plan on it.,1,11,similarity,21
14,must see!,1,0,acknowledgment,20
33,I'm well! Having a good start to the day!,1,0,acknowledgment,20
54,Live Free or Die Hard (2007) is another they try to kill him agian,1,1,credibility,20
217,What other types of movies do you like?,1,5,opinion_inquiry,20
239,I haven‚Äôt seen homecoming,1,6,personal_experience,20
292,I love Happy Gilmore (1996).,1,7,personal_opinion,20
462,"Me neither haha, i hope i have helped you",1,11,similarity,20
560,"thank you, good bye",1,0,acknowledgment,20
572,"You're welcome.  Have a great day, good bye.",1,0,acknowledgment,20
620,excellent! I hope you enjoy,1,2,encouragement,20
732,Do you like scary movies?,1,5,opinion_inquiry,20
804,"I just watched the Punisher on Netflix, the show",1,6,personal_experience,20
832,Even though i would rather the old one,1,7,personal_opinion,20
869,Might I suggest you go back and watch the movie Sixth Sense since you cannot remember if you saw it?,1,8,preference_confirmation,20
887,For family movies Finding Dory (2016) or Trolls  (2016) ?,1,8,preference_confirmation,20
903,So You like adventure movies?,1,8,preference_confirmation,20
1007,I liked it too,1,11,similarity,20
1012,nice me too,1,11,similarity,20
1034,Anything else,1,12,transparency,20
28,"Good day to you, too!",1,0,acknowledgment,19
206,how about Maid in Manhattan,1,5,opinion_inquiry,19
214,Do you think you'd like the new Jurassic World (2015)?,1,5,opinion_inquiry,19
291,"I like that scared to the couch feeling, though sometimes I have to follow up my horror movies with a great comedy.  Something like The Waterboy (1998).",1,7,personal_opinion,19
302,"Yes, Avengers is good",1,7,personal_opinion,19
326,Somthing like The Godfather (1972) ?,1,8,preference_confirmation,19
466,Yes that was amazing too!,1,11,similarity,19
518,"Hey there, can I recommend a movie for you?",1,12,transparency,19
521,do you need my help,1,12,transparency,19
618,Yes that is the movie I suggest.,1,2,encouragement,19
619,"absolutely, enjoy!",1,2,encouragement,19
655,did you watch Avengers: Infinity War (2018),1,3,experience_inquiry,19
742,Are you looking for something older or newer?,1,5,opinion_inquiry,19
759,What kinds of movies do you like? Do you like dramatic movies?,1,5,opinion_inquiry,19
825,"It was really creepy, but I thought it was good!",1,7,personal_opinion,19
834,But that is a scary one,1,7,personal_opinion,19
860,I didn't think the American Pie  (1999) movies were that great,1,7,personal_opinion,19
861,I always felt like the were super overrated.,1,7,personal_opinion,19
902,Hmm. Do you highly recommend all of the Lord of the Rings movies? I have not seen them! Maybe you'd like The Golden Compass  (2007)?,1,8,preference_confirmation,19
924,Even if you are nt a fan of sci fi,1,9,rephrase_preference,19
978,"Me, too!",1,11,similarity,19
985,I liked that one too!,1,11,similarity,19
1009,I do as well.,1,11,similarity,19
11,"Hello, sure I will.",1,0,acknowledgment,18
35,"Thank you for the chat, goodbye.",1,0,acknowledgment,18
70,Birdman  (2014) and the new RBG (2018)  documentary for sure.,1,1,credibility,18
134,Nice! I'm well. I enjoyed my weekend. I saw Deadpool 2  (2018) with my bf. Did you see it?,1,3,experience_inquiry,18
207,"Hello, what genre of movie do you like?",1,5,opinion_inquiry,18
219,"I like action, comedy, and thrillers mostly. What about you?",1,5,opinion_inquiry,18
220,"Hi, how are you? Did you enjoy your weekend?",1,5,opinion_inquiry,18
225,What type of movies do you like?,1,5,opinion_inquiry,18
305,It really portrays how the majority of america really is,1,7,personal_opinion,18
308,Fight Club (1999) and The Shawshank Redemption (1994) are two of my favorite movies.,1,7,personal_opinion,18
320,I did. It was great.,1,7,personal_opinion,18
347,Or maybe First Sunday (2008)?,1,8,preference_confirmation,18
636,You should try those,1,2,encouragement,18
862,I've seen Click  (2006)  but I don't like it as much as his older movies.,1,7,personal_opinion,18
1011,I loved that movie too.,1,11,similarity,18
1017,"Ah, yes, I liked that too.",1,11,similarity,18
1058,"I am well, looking for a good movie?",1,12,transparency,18
7,Great. Goodbye.,1,0,acknowledgment,17
99,"Oh! Okay, you should see Guardians of the Galaxy  (2014) so that you could even better understand that relationship dynamic with his daughters.",1,2,encouragement,17
559,my apologies,1,0,acknowledgment,17
566,Thank you! Have a great day Good bye.,1,0,acknowledgment,17
630,i could recommend you American Pie  (1999),1,2,encouragement,17
734,What kind of movies do you like,1,5,opinion_inquiry,17
753,Tell what kind of movie would you like to watch?,1,5,opinion_inquiry,17
758,What kind of movie genres do you like,1,5,opinion_inquiry,17
803,No the only Marvel movie I have seen was Avengers: Infinity War (2018) .,1,6,personal_experience,17
853,that's is very interesting and funny,1,7,personal_opinion,17
858,I loved It (1990)  and I thought the new one It  (2017)  was ok,1,7,personal_opinion,17
8,Thanks. Goodbye.,1,0,acknowledgment,16
107,Have you seen Raiders of the Lost Ark (1981) ? That is a classic.,1,3,experience_inquiry,16
197,"Yes, what types of movies are you interested in?",1,5,opinion_inquiry,16
330,"I have, and if you like psychological thrillers like that, might I recommend Mama  (2013) ?",1,8,preference_confirmation,16
366,or Insidious  (2011) ?,1,8,preference_confirmation,16
474,"Yeah, me too. Laughter is the best medicine!",1,11,similarity,16
516,"I am good as well, thanks . How can I help you today?",1,12,transparency,16
761,"Do you like classic dramas like Casablanca, or would you prefer something more recent?",1,5,opinion_inquiry,16
770,"What else would you like in the movie? comedy, fairy tales?",1,5,opinion_inquiry,16
835,Click  (2010) was good,1,7,personal_opinion,16
1008,I like the same as you,1,11,similarity,16
1018,"I did! It was funny. Oh yes, I liked the old Deadpool  (2016)  too!",1,11,similarity,16
53,Yes it is! It has Micheal Jackson in it,1,1,credibility,15
64,Its sort of comic book/video game style movie,1,1,credibility,15
141,there is Fargo  (1996) have you seen it?,1,3,experience_inquiry,15
202,What kind of movies do you like.,1,5,opinion_inquiry,15
208,"Hi, what kind of movies are you looking for.",1,5,opinion_inquiry,15
230,What kind movies do you like?,1,5,opinion_inquiry,15
331,or maybe Tangled (2010) ?,1,8,preference_confirmation,15
524,How can I help you today?,1,12,transparency,15
526,hi are you looking for a movie,1,12,transparency,15
539,Is there anything else I can help you with?,1,12,transparency,15
672,Have you seen Annihilation  (2018)?  I would recommend it.,1,3,experience_inquiry,15
695,Have you seen Sleeping Beauty  (2011) it's a classic,1,3,experience_inquiry,15
739,me what kind of movies do you like?,1,5,opinion_inquiry,15
756,do you like marvel movies?,1,5,opinion_inquiry,15
839,My favorite Adam Sandler movie is definitely Billy Madison (1995),1,7,personal_opinion,15
103,Have you seen 21 Jump Street  (2012) ? I thought that was a pretty funny movie,1,3,experience_inquiry,14
201,Oh I see. What do you like?,1,5,opinion_inquiry,14
204,Great!  What type of movies do you like?,1,5,opinion_inquiry,14
215,"Sure, I love dramas. What is your favorite drama?",1,5,opinion_inquiry,14
216,How did you like it?,1,5,opinion_inquiry,14
304,I like the movie Get out,1,7,personal_opinion,14
497,Hello!  I'm good. How are you?  Are you looking for a movie suggestion?,1,12,transparency,14
592,They do say there is no bond like one between a man and his dog.,1,1,credibility,14
602,it is a movie mady by Adan Sandle,1,1,credibility,14
686,I wonder if you have seen any of the movies I suggested?,1,3,experience_inquiry,14
745,"Hello, what type of movies do you like?",1,5,opinion_inquiry,14
751,Hello can you tell me what kind of movies you like best?,1,5,opinion_inquiry,14
1022,"Did o help you, or do you need more help?",1,12,transparency,14
2,You too,1,0,acknowledgment,13
10,Thank you!,1,0,acknowledgment,13
46,Click  (2006) it is made by Adan Sandler,1,1,credibility,13
60,"I know Kevin Hart had a part in it, too.",1,1,credibility,13
144,have you seen Avengers: Infinity War (2018) ?,1,3,experience_inquiry,13
222,"Hi, what kind of movies do you like?",1,5,opinion_inquiry,13
306,It's awesome. Its a really funny murder mystery with Val Kilmer and RDJ,1,7,personal_opinion,13
336,may I recommend The Transporter (2002) or From Paris with Love  (2010) ?,1,8,preference_confirmation,13
491,Would you like a movie recommendation?,1,12,transparency,13
493,"Good afternoon!  I'm good, I hope you are well!  Are you looking for a movie suggestion?",1,12,transparency,13
501,Hello!  Are you looking for a movie suggestion?,1,12,transparency,13
513,"I'm good, it seems I'm supposed to recommend movies to you, is there anything you are interested in?",1,12,transparency,13
535,"Hi, how can I help?",1,12,transparency,13
594,That is full of action and comedy.,1,1,credibility,13
765,"Good thanks, what kind of movies do you like?",1,5,opinion_inquiry,13
772,Did you like the scifi aspect of Donnie Darko (2001) ?,1,5,opinion_inquiry,13
1033,Hello. Can you recommend a movie for me that you think is good?,1,12,transparency,13
13,Im fine thanks!,1,0,acknowledgment,12
51,It is about Batman and the Joker,1,1,credibility,12
116,"those are really funny, have you seen them?",1,3,experience_inquiry,12
229,Great! What kind of movies do you like?,1,5,opinion_inquiry,12
492,Does this help you find a movie to watch?,1,12,transparency,12
527,Can I recommend some movies?,1,12,transparency,12
530,Hi how can I help you find a movie?,1,12,transparency,12
533,"Hi, can I help you find a movie?",1,12,transparency,12
588,"no problem, bye",1,0,acknowledgment,12
599,I love Ever After (1998) . Its an older fairy tale romance with Drew Barrmore,1,1,credibility,12
600,So True Romance (1993) is a crime movie with some romance,1,1,credibility,12
605,A classic fictional courtroom drama is To Kill a Mockingbird  (1962),1,1,credibility,12
653,Have you seen It  (2017),1,3,experience_inquiry,12
661,Did you watch The Exorcist  (1973) ?,1,3,experience_inquiry,12
665,And did you watch You Don't Mess with the Zohan (2008) ?,1,3,experience_inquiry,12
679,I like old school horror movies like A Nightmare on Elm Street (1984) have you ever seen this one?,1,3,experience_inquiry,12
685,Hi! Have you seen a good action movie lately?,1,3,experience_inquiry,12
691,"They are great movies, have you seen American Gangster  (2007)",1,3,experience_inquiry,12
752,or do you like Scary movies?,1,5,opinion_inquiry,12
1027,Do you need help finding a movie?,1,12,transparency,12
1066,need some movies?,1,12,transparency,12
6,Yes that is great.,1,0,acknowledgment,11
59,a whole bunch of comedic actors are in it,1,1,credibility,11
285,It is the best marvel film so far,1,7,personal_opinion,11
499,I hope you have something here you can use?,1,12,transparency,11
523,if bro and tell me what else can I help you...,1,12,transparency,11
534,"Hi, how can i help you?",1,12,transparency,11
538,Hello! How may I help you today?,1,12,transparency,11
540,you are welcome,1,0,acknowledgment,11
590,mainly because Johnny Depp is in it,1,1,credibility,11
596,"In Key Largo  (1948) Humphrey Bogart's character clashes with mobsters in a Florida resort town, and falls in love with Lauren Bacall along the way",1,1,credibility,11
771,What movies outs die of the romance genre do you like?,1,5,opinion_inquiry,11
1031,Hello looking for a funny movie any suggestions?,1,12,transparency,11
1038,Hi. How are you? Can I recommend you something?,1,12,transparency,11
1054,Any plans for today? Should I recommend you something?,1,12,transparency,11
1067,need some good movie?,1,12,transparency,11
16,Thank you.,1,0,acknowledgment,10
36,See you!,1,0,acknowledgment,10
48,It's based on a book about a rogue shark that terrorizes a small beach community during the tourist summer season.,1,1,credibility,10
102,"Oh for sure, it is a great movie and Mark Wahlberg is a stud.  Have you ever seen Boogie Nights (1997) ?",1,3,experience_inquiry,10
123,have you seen that one?,1,3,experience_inquiry,10
137,"Wonderful, I just seen this awesome movie call Avengers: Infinity War (2018) , have you seen it?",1,3,experience_inquiry,10
140,have you ever seen American Pie  (1999) ?,1,3,experience_inquiry,10
142,Hello. Have you seen Jaws  (1975),1,3,experience_inquiry,10
