Input Text Part 1,Input Text Part 2,Ground Truth Label,Model Prediction
birdman ( 2014 ) and the new rbg ( 2018 ) documentary for sure.,i agree,0,0
"i am good as well, thanks. how can i help you today?",need some good movie?,1,1
what genre of movie do you like?,"what else would you like in the movie? comedy, fairy tales?",1,1
hello,perfect! me too!,0,0
"no, i have not watched neither heard",i havent seen either,1,1
and did you watch you don't mess with the zohan ( 2008 )?,maybe 12 angry men ( 1957 ) and the dark knight ( 2008 )?,0,1
if bro and tell me what else can i help you...,"hello, have you seen the new it movie?",0,0
"hello, there is a movie that i have always enjoyed and i'm not sure what you would call the genre but the movie is donnie darko ( 2001 ) have you ever seen this one?",have you seen avengers : infinity war ( 2018 ),1,1
are you looking for a movie to watch today?,can i help you,1,1
and did you watch the exorcist ( 1973 )?,"hello, there is a movie that i have always enjoyed and i'm not sure what you would call the genre but the movie is donnie darko ( 2001 ) have you ever seen this one?",1,1
how can i help you today?,can i help you find a movie?,1,1
it's awesome. its a really funny murder mystery with val kilmer and rdj,well that one definitely isn't funny. how about black sheep ( 1996 ) or another classic uncle buck,0,0
you should try them,did you watch avengers : infinity war ( 2018 )?,0,0
well that one definitely isn't funny. how about black sheep ( 1996 ) or another classic uncle buck,those movies are made by adan sandler even though click ( 2006 ) is better than the another one,0,0
goodbye,or daylight ( 1996 )?,0,0
great! what kind of movies do you like?,the house ( 2017 ) was a good will ferrell movie from last year.,0,0
anything else,need some good movie?,1,1
tommy boy ( 1995 ) and black sheep ( 1996 ) are 2 all time favorites.,it's awesome. its a really funny murder mystery with val kilmer and rdj,1,1
have you seen avengers : infinity war ( 2018 )?,so funny and just ridiculous.,0,0
hello what kind of movies are you looking for?,what kind of movies would you like to watch?,1,1
"hello, sure i will.",thank you.,1,1
maybe you feel like an action movie today? die hard ( 1988 ) or the transporter ( 2002 ),no i have not seen that movie.,0,0
well i think i will have to be looking into some movies myself now.,but i should check it out,1,1
"it was nice talking to you, good bye",good bye,1,1
have you seen fifty shades of grey ( 2015 ),have you seen avengers : infinity war ( 2018 ),1,1
"it was nice talking to you, good bye",i can recommend what you like,0,1
"those are really funny, have you seen them?",ok have you seen seabiscuit ( 2003 ),1,1
are you looking for a movie?,what can i help you fiind tonight?,1,1
hello. can you recommend a movie for me that you think is good?,i seen it 3 times i ‚ ao√n√¥m black panther out lol,0,0
"you're welcome. have a great day, good bye.",have you seen avengers : infinity war ( 2018 ),0,0
"ok, have you seen get out ( 2017 )?",that's great it's a great movies. have you seen tomb raider ( 2018 ),1,1
whats that?,how about maid in manhattan,0,1
"great, anytime!",hello,1,1
ok,it's based on 1970's in new york,0,0
same here,the house ( 2017 ) was a good will ferrell movie from last year.,0,0
"it was nice talking to you, good bye",hello,1,1
that's funny too.,have you seen avengers : infinity war ( 2018 ),0,0
hi how can i help you find a movie?,can i help you with a movie,1,1
he probably would. how about i know what you did last summer ( 1997 ) or scream ( 1996 ),did you watch avengers : infinity war ( 2018 )?,1,1
how about the wedding singer ( 1998 ),there is fargo ( 1996 ) have you seen it?,0,1
i can tell you to watch click ( 2006 ),would you like some more suggestions?,0,0
i ‚ ao√n√¥m well. looking for a good movie?,do you like pineapple express ( 2008 )?,0,0
have you seen kiss kiss bang bang ( 2005 ),what about black panther ( 2018 ),0,0
i gotta rec the classic pirates of the caribbean,have you seen that at all?,0,0
"i haven't seen it yet, but my friend liked it.",can i help you with a movie,0,0
you might love deadpool ( 2016 )!,no i havent.,0,0
but i should check it out,i want to see the new ant - man and the wasp ( 2018 ),1,1
what kind of movie are you looking for now?,great! what type of movies do you like?,1,1
the second one a nightmare on elm street 2 : freddy's revenge ( 1985 ) is great too.,can i help you find a movie?,0,0
all of your examples were female leads,tell me what would you like to watch?,0,0
have you seen both of those movies?,have you seen it,1,1
and did you watch the exorcist ( 1973 )?,have you seen it?,1,1
i have some movies to recommend to you!,also back to the future ( 1985 ) is a classic sci - fi movie.,0,0
have you ever seen the conjuring ( 2013 ),ok have you seen seabiscuit ( 2003 ),1,1
so funny and just ridiculous.,goodbye,0,0
"good. would you like to watch some old horror movies like night of terror ( 1933 ), or frankenstein ( 1931 )",as man of steel ( 2013 )?,1,1
hi are you looking for a movie,hello! i'm good. how are you? are you looking for a movie suggestion?,1,1
"i like bruce willis in a lot of movies, especially in die hard ( 1988 )",i wasn't a big fan of paranormal activity ( 2007 ),1,1
how about the sixth sense?,tell me what kind of movie do you like?,1,1
it is a movie mady by adan sandle,i havent even heard of that one,0,0
i am trying to find a movie for my kid any suggestions?,i just watched avengers : infinity war ( 2018 ),0,0
have you ever seen scary movie ( 2000 )?,have you seen talladega nights : the ballad of ricky bobby ( 2006 ) or the hangover ( 2009 )?,1,1
me too. variety.,yes i think so,1,0
have you seen it ( 2017 ),i loved that movie actually haha.,0,0
thanks!,goodbye!,1,1
"hi, how can i help you?",looking for a good movie?,1,1
your welcome,you are welcome,1,1
have you seen raiders of the lost ark ( 1981 )? that is a classic.,i hope you have something here you can use?,0,0
i love ever after ( 1998 ). its an older fairy tale romance with drew barrmore,oh i see. what do you like?,0,0
great. goodbye.,hello,1,1
are you looking for a movie to watch today?,will you watch it?,0,0
what about last year's the house ( 2017 )?,i love ever after ( 1998 ). its an older fairy tale romance with drew barrmore,0,0
"it was really creepy, but i thought it was good!",live free or die hard ( 2007 ) is another they try to kill him agian,0,0
whats that?,have you seen american pie ( 1999 )?,1,1
do your friends also like scary movies?,what kind of movies do you like,1,1
"thank you, good bye","awesome, see you later.",1,1
hi there are you interested in some classic comedies?,or truth or dare ( 2013 )?,1,1
"well, enjoy your evening good bye",i can recommend you the mask ( 1994 ) which was made by jin carrey,0,1
hello! i'm good. how are you? are you looking for a movie suggestion?,"yes, i highly suggest pineapple express ( 2008 )!",0,0
ok you meant no to thrillers completely,you if youre a fan of seth rogen haha.,1,1
do you like marvel movies?,tell me what kind of movies would you like to watch?,1,1
or maybe the nice guys ( 2016 )?,i could recommend you american pie ( 1999 ),0,0
great. thanks. looking for any good movies?,how about house of 1000 corpses ( 2003 ),0,0
can i help you with a movie,me what kind of movies do you like?,0,0
"oh ok, so you like romantic comidies!",looking for any good movies?,0,0
what about last year's the house ( 2017 )?,i like old school horror movies like a nightmare on elm street ( 1984 ) have you ever seen this one?,1,1
hello! can i help you find a movie?,maybe you would like highlander : endgame ( 2000 )?,0,0
my apologies,tell what kind of movie would you like to watch?,0,0
"wonderful, i just seen this awesome movie call avengers : infinity war ( 2018 ), have you seen it?",me too. variety.,0,0
are you looking for a movie to watch today?,can i help you,1,1
hello there. looking for a good movie?,lol ahhh i ‚ ao√n√¥m still excited to see it!,0,0
have you seen it,maybe you would like highlander : endgame ( 2000 )?,0,0
i enjoyed the texas chainsaw massacre ( 2003 ) too.,i havent seen that one,0,0
or maybe tangled ( 2010 )?,hi. how can i help you today?,0,0
there's a pbs channel with great documentaries.,it's based on 1970's in new york,1,1
tell what kind of movie would you like to watch?,great. good bye my friend.,0,0
ok you meant no to thrillers completely,do you like marvel movies?,0,0
did you watch the exorcist ( 1973 )?,have you seen fifty shades of grey ( 2015 ),1,1
i want to see the new ant - man and the wasp ( 2018 ),"do you like classic dramas like casablanca, or would you prefer something more recent?",0,0
good night,hello,1,1
have you seen avengers : age of ultron ( 2015 ),have you seen talladega nights : the ballad of ricky bobby ( 2006 ) or the hangover ( 2009 )?,1,1
i haven't either but i plan on it.,i have some movies to recommend to you!,0,0
i havent even heard of that one,"i have seen "" the good",1,1
i love the movie little nicky ( 2000 ) an all time favorite,no i have not seen that one either. i guess i have a few to look into. i really liked annabelle ( 2014 ) though.,1,1
i haven ‚ ao√n√¥t seen blade runner,for family movies finding dory ( 2016 ) or trolls ( 2016 )?,0,0
"yes adam sandler has made so many great movies, i even like his newer ones like click ( 2006 ) and grown ups ( 2010 ).",it was very good. and not too scary or gruesome for someone who doesn't normally watch them,1,1
i seen it 3 times i ‚ ao√n√¥m black panther out lol,i watched it too.,0,0
hi are you looking for a movie,"hey there, can i recommend a movie for you?",1,1
both are excellent movies. if you are looking for something a little lighter..,i love napoleon dynamite,0,1
is that enough family friendly and adventure films for you?,looking for a good movie?,0,1
need some movies?,would you like some more suggestions?,1,1
that's great it's a great movies. have you seen tomb raider ( 2018 ),have you seen avengers : infinity war ( 2018 )?,1,1
"hello, have you seen the new it movie?",see you!,0,0
goodbye,me too love comedy,0,0
i can help you,birdman ( 2014 ) and the new rbg ( 2018 ) documentary for sure.,0,0
what kind movies do you like?,or super troopers 2 ( 2018 )?,0,0
and did you watch the exorcist ( 1973 )?,what about spider - man : homecoming ( 2017 ),1,1
also back to the future ( 1985 ) is a classic sci - fi movie.,do you like pineapple express ( 2008 )?,0,0
lol,hello,1,1
i just watched avengers : infinity war ( 2018 ),or the black panthers : vanguard of the revolution ( 2015 )?,0,0
yes you will enjoy them,did you watch avengers : infinity war ( 2018 )?,0,0
good bye,tell me what kind of movies do you like?,0,0
can i help you,oh yes let me think..,0,0
that is very scary,samuel jackson made the movie great!,1,1
get out ( 2017 ) was so good.,fight club ( 1999 ) and the shawshank redemption ( 1994 ) are two of my favorite movies.,1,1
me what kind of movies do you like?,hello can you tell me what kind of movies you like best?,1,1
i will this weekend,any plans for today? should i recommend you something?,0,0
it's with daniel radcliffe where he is like a reanimated corpse and he helps a guy stranded on an island. it's wacky.,have you seen girls trip ( 2017 ),0,0
maybe you would like highlander : endgame ( 2000 )?,have you seen talladega nights : the ballad of ricky bobby ( 2006 ) or the hangover ( 2009 )?,0,0
good bye,a whole bunch of comedic actors are in it,0,0
what kind of movies can i help you with tonight?,i agree,0,0
"i know kevin hart had a part in it, too.",that is full of action and comedy.,1,1
whats that?,have you seen that one?,1,1
"likewise, alpacino is great.",i hope i have helped,1,1
me what kind of movies do you like?,did you like the scifi aspect of donnie darko ( 2001 )?,1,1
have you seen sleeping beauty ( 2011 ) it's a classic,and it ( 1990 )?,1,0
well you seem to be a stephen king expert,what kinds of movies have you liked before with this group of friends?,0,0
what kind of movies do you like? i love horrors!,what about last year's the house ( 2017 )?,0,0
are you looking for a good movie to watch?,anything else,1,1
it's on my list of favorites.,i want to see the new ant - man and the wasp ( 2018 ),1,1
do your friends also like scary movies?,yes that was a great movie.,0,0
enjoy them,i've never seen fear ( 1990 ). even though it's more 80s you might like heathers ( 1988 ) if you liked cruel intentions ( 1999 ).,1,1
what kind of movie are you looking for now?,what movies outs die of the romance genre do you like?,1,1
"hello, what genre of movie do you like?",great! what kind of movies do you like?,1,1
is there anything else i can help you with?,looking for a good movie?,1,1
"i have, and if you like psychological thrillers like that, might i recommend mama ( 2013 )?",as man of steel ( 2013 )?,1,1
i have never seen either of those movies. do you like comedies like the waterboy ( 1998 ) or something like black sheep ( 1996 ).,what was the last movie you saw?,0,0
if bro and tell me what else can i help you...,can i help you with a movie,1,1
i like drama too. i really like titanic ( 2012 ). do you like that?,what kind of movies do you like,1,1
"no problem, bye",it is the best marvel film so far,0,0
anything else,hello im so bored can you help with a good movie,1,1
i do!,what kind of movies do you like?,0,0
i have never seen either of those movies. do you like comedies like the waterboy ( 1998 ) or something like black sheep ( 1996 ).,great! what kind of movies do you like?,1,1
"yeah those are the best, especially pulp fiction.",i seen it 3 times i ‚ ao√n√¥m black panther out lol,0,0
"cool. maybe i helped. yes, i love that movie.","hey there, can i recommend a movie for you?",0,0
would you like some more suggestions?,looking for a good movie?,1,1
are you looking for a movie?,do you need some movie to watch tonight?,1,1
looking for any good movies?,hi - need a good movie reco?,1,1
"good afternoon! i'm good, i hope you are well! are you looking for a movie suggestion?",hi. how can i help you today?,1,1
what kind of movies do you like? i love horrors!,yes you will enjoy them,0,0
hello,hello! have you seen either of these? avengers : infinity war ( 2018 ) or thor,0,0
tell what kind of movie would you like to watch?,what kind of movies do you like?,1,1
that is very scary,"yes adam sandler has made so many great movies, i even like his newer ones like click ( 2006 ) and grown ups ( 2010 ).",1,1
can i help yo,hello there. looking for a good movie?,1,1
hmm. do you highly recommend all of the lord of the rings movies? i have not seen them! maybe you'd like the golden compass ( 2007 )?,i thought so. very funny,0,0
i just watched avengers : infinity war ( 2018 ),would you like some more suggestions?,0,0
then might i recommend last action hero ( 1993 ) starring arnold schwarzenegger?,did you see that new will ferrel movie the house ( 2017 )?,0,0
need help finding a good movie?,hey there. can i recommend a movie for you?,1,1
you like funny movies.,so you like the old ones then.,1,1
"hi, how can i help?",hey there. i am well. are you looking for a good movie?,1,1
samuel jackson made the movie great!,that's is very interesting and funny,1,1
or maybe the nice guys ( 2016 )?,or arrival ( 2016 )?,1,1
great! what type of movies do you like?,"no, bruce willis!",0,0
have you seen 21 jump street ( 2012 ) or any of the the hangover ( 2009 ) movies?,i love x - men ( 2000 ),0,0
i love napoleon dynamite,tommy boy ( 1995 ) and black sheep ( 1996 ) are 2 all time favorites.,1,1
thank you.,oh yes let me think..,0,1
oh that sounds like one i will have to check out.,did you like the scifi aspect of donnie darko ( 2001 )?,0,0
i'm well! having a good start to the day!,good bye,1,1
i wonder if you have seen any of the movies i suggested?,"hi there. i would like to suggest some comedies you could watch, have you seen the wedding singer ( 1998 )?",1,1
it's on my list of favorites.,what other types of movies do you like?,0,0
really? i didnt know that. you are going to have me go look it up.,let me think,1,0
"did o help you, or do you need more help?",you have plans tonight?,1,1
for an interesting action movie maybe michael clayton ( 2007 )?,that is full of action and comedy.,0,0
hello! i'm good. how are you? are you looking for a movie suggestion?,great. goodbye.,0,0
somthing like the godfather ( 1972 )?,or maybe tangled ( 2010 )?,1,1
did you watch the exorcist ( 1973 )?,hello there. i am here to recommend some movies to you.,0,0
do you like scary movies?,how did you like it?,1,1
even though i would rather the old one,fight club ( 1999 ) and the shawshank redemption ( 1994 ) are two of my favorite movies.,1,1
click ( 2006 ) it is made by adan sandler,you might love deadpool ( 2016 )!,0,0
maybe pitch perfect 3 ( 2017 )?,or maybe noah ( 2014 )?,1,1
next movie i plan on seeing is deadpool 2 ( 2018 ),or sherlock holmes ( 2010 )?,0,0
"it has drew barrymore and adam sandler starring, it's a romantic comedy so you would like it","no, bruce willis!",1,1
and did you watch you don't mess with the zohan ( 2008 )?,have you seen it,1,1
"i haven't seen rbg ( 2018 ) yet, but one of my friends was telling me she enjoyed it.",haven ‚ ao√n√¥t seen that one,1,0
what can i help you fiind tonight?,spotlight ( 2015 ) was awesome. i highly recommend it!,0,0
you're welcome.,did you watch the exorcist ( 1973 )?,0,0
or maybe grease 2 ( 1982 )?,as man of steel ( 2013 )?,1,1
i wasn't a big fan of paranormal activity ( 2007 ),"hello, there is a movie that i have always enjoyed and i'm not sure what you would call the genre but the movie is donnie darko ( 2001 ) have you ever seen this one?",0,0
i really like captain america : civil war ( 2016 ) also,"no problem, enjoy and goodbye",0,0
"hello, have you seen the new it movie?",me too!!!!,0,0
tell what kind of movie would you like to watch?,what genre of movie do you like?,1,1
have you seen the movie the godfather ( 1972 ),hello,0,0
im fine thanks!,hello,1,1
need some good movie?,can i help you find a movie?,1,1
no the only marvel movie i have seen was avengers : infinity war ( 2018 ).,have you seen little miss sunshine ( 2006 )?,0,0
i havent seen that one,no i haven't.,1,1
do you like marvel movies?,what kind of movies do you like?,1,1
i watched it the other night. i forgot how much i liked it!,"ah, yes, i liked that too.",0,0
must see!,great. goodbye.,1,1
how about the wedding singer ( 1998 ),oh i see. what do you like?,1,1
but i should check it out,i always felt like the were super overrated.,0,0
"i haven't seen it yet, but my friend liked it.",i never even heard of it,1,1
perfect! me too!,i haven ‚ ao√n√¥t seen homecoming,0,0
need some movies?,do you mind if i ask you some questions first?,1,1
it is very good.,i like the same as you,0,0
"they are great movies, have you seen american gangster ( 2007 )",i love the movie little nicky ( 2000 ) an all time favorite,0,0
what kinds of movies have you liked before with this group of friends?,"oh for sure, it is a great movie and mark wahlberg is a stud. have you ever seen boogie nights ( 1997 )?",0,1
that's is very interesting and funny,you're welcome.,0,0
im fine thanks!,hi,1,1
"cool. maybe i helped. yes, i love that movie.","yes you do, maybe even too much.",1,1
for an interesting action movie maybe michael clayton ( 2007 )?,is that enough family friendly and adventure films for you?,1,1
sounds good. you have a great day. thank you and good bye.,you're welcome.,1,1
need some movies?,there are. but of course you don't care for superhero films.,0,0
are you looking for a movie?,click ( 2006 ) it is made by adan sandler,0,0
yes. well you like will smith : ),but that is a scary one,0,1
i love the movie little nicky ( 2000 ) an all time favorite,so funny and just ridiculous.,1,1
well that one definitely isn't funny. how about black sheep ( 1996 ) or another classic uncle buck,great! what kind of movies do you like?,1,1
"oh ok. dunkirk is a war movie, so i thought that's what you were looking for.",all of your examples were female leads,1,1
hello what kind of movies are you looking for?,me too love comedy,0,0
have you seen it,yeh spiderman is a great movie,0,0
"did o help you, or do you need more help?",i love mob movies. if you haven't seen gangs of new york ( 2002 ) you should give it a peek,0,0
let me think here..,all of your examples were female leads,0,1
"thank you too. you have a great day, good bye.",ok,1,1
great! what type of movies do you like?,i'm well! having a good start to the day!,0,0
have you seen 21 jump street ( 2012 ) or any of the the hangover ( 2009 ) movies?,i enjoyed the texas chainsaw massacre ( 2003 ) too.,0,0
thank you.,hello,1,1
me too!!!!,and coco ( 2017 )?,0,0
my apologies,like billy madison ( 1995 )?,0,0
any plans for today? should i recommend you something?,are you looking for a good movie to watch?,1,1
i do!,looking for any movie recommendations?,0,0
same here,i like that movie too.,1,1
have you seen it,have you seen it,1,1
did you watch avengers : infinity war ( 2018 ),hello! have you seen either of these? avengers : infinity war ( 2018 ) or thor,1,1
yeh spiderman is a great movie,excellent! i hope you enjoy,1,1
samuel jackson made the movie great!,i love happy gilmore ( 1996 ).,1,1
have you seen 21 jump street ( 2012 ) or any of the the hangover ( 2009 ) movies?,what about spider - man : homecoming ( 2017 ),1,1
hello can you tell me what kind of movies you like best?,what kind of movies do you like?,1,1
and did you watch you don't mess with the zohan ( 2008 )?,what movies outs die of the romance genre do you like?,0,0
are you looking for a movie to watch?,can i help you find a good movie tonight?,1,1
can i help you find a movie?,what kind of movies can i help you with tonight?,1,1
okay thanks!,they do say there is no bond like one between a man and his dog.,0,0
you like?,have you seen annihilation ( 2018 )? i would recommend it.,0,0
i love that movie.,"yes you do, maybe even too much.",0,1
"hi, how can i help?",i love napoleon dynamite,0,0
we had to watch it for school,yes i seen hellboy!,1,1
whats that?,both are excellent movies. if you are looking for something a little lighter..,0,0
"they are great movies, have you seen american gangster ( 2007 )","wonderful, i just seen this awesome movie call avengers : infinity war ( 2018 ), have you seen it?",1,1
i love bruce willis too and can watch the movie over and over.,yes! me too! i wound up liking ant - man ( 2015 ) more than i thought i would!,1,0
hello! how may i help you today?,what kind of movies can i help you with tonight?,1,1
did you watch avengers : infinity war ( 2018 ),i'll check out groundhog day ( 1993 ) and american pie ( 1999 ) sometimes,0,0
im fine thanks!,samuel jackson made the movie great!,0,0
great. goodbye.,good bye,1,1
is there anything else i can help you with?,i hope you have something here you can use?,1,1
what kind of movie are you looking for now?,tell me what kind of movies do you like?,1,1
does this help you find a movie to watch?,"hi, how can i help you?",1,1
samuel jackson made the movie great!,have you seen jack reacher ( 2012 )?,0,0
i ‚ ao√n√¥m well. looking for a good movie?,have you seen kill bill?,0,0
or maybe noah ( 2014 )?,you might love deadpool ( 2016 )!,0,0
good bye,let me think,0,0
hi - need a good movie reco?,you may like rush hour ( 1998 ).,0,0
thanks. goodbye.,hey,1,1
i love happy gilmore ( 1996 ).,even though i would rather the old one,1,1
yes police academy ( 1984 ) is very funny and so is police academy 2 : their first assignment ( 1985 ),"i like that scared to the couch feeling, though sometimes i have to follow up my horror movies with a great comedy. something like the waterboy ( 1998 ).",1,1
"no, bruce willis!",bye,0,0
i enjoyed house at the end of the street ( 2012 ) but have not seen the last house on the left ( 2009 ) or the last house on the left ( 1972 ).,empire of the ants ( 1977 ) freaked me out as a child,1,1
ok.. if it is the story of survival that you liked,"well, i hope i have helped",0,1
have you seen avengers : infinity war ( 2018 ),hi are you looking for a movie,0,0
okay. i have a few ideas. give me a minute,same here,0,0
hello,hello,1,1
"okay, let me think...",that's funny too.,0,0
what kinds of movies do you like? do you like dramatic movies?,"good thanks, what kind of movies do you like?",1,1
are you looking for a movie?,are you looking for a good movie to watch?,1,1
ok,i grew up watching a nightmare on elm street ( 1984 ) and friday the 13th ( 1980 ).,0,0
i enjoyed the texas chainsaw massacre ( 2003 ) too.,"yeah, i liked it too",1,1
must see!,yes police academy ( 1984 ) is very funny and so is police academy 2 : their first assignment ( 1985 ),0,0
i also enjoy classic horror movies like a nightmare on elm street ( 1984 ) and a nightmare on elm street 2 : freddy's revenge ( 1985 ),no i have not seen that one either. i guess i have a few to look into. i really liked annabelle ( 2014 ) though.,1,1
i really liked it,for me the best fantsy is the lord of the rings,1,1
hello. have you seen jaws ( 1975 ),have you watched deadpool ( 2016 ) the first one?,1,1
"me neither haha, i hope i have helped you",hello,0,0
let me think,well that one definitely isn't funny. how about black sheep ( 1996 ) or another classic uncle buck,0,0
"ok, have you seen get out ( 2017 )?",me what kind of movies do you like?,0,0
click ( 2006 ) it is made by adan sandler,hey there! can i recommend a good horror movie for you?,0,0
hi. how can i help you today?,which once that i recommended would you like to watch?,0,0
x - men : the last stand ( 2006 ) was another good xmen movie,good bye,0,0
yes. well you like will smith : ),it is very good.,0,1
spotlight ( 2015 ) was awesome. i highly recommend it!,i can tell you to watch click ( 2006 ),1,1
can i help you find a good movie tonight?,can i help you with a movie,1,1
"you're welcome. have a great day, good bye.",okay. i have a few ideas. give me a minute,0,1
what kind of movies do you like?,tell me what kind of movies would you like to watch?,1,1
yes police academy ( 1984 ) is very funny and so is police academy 2 : their first assignment ( 1985 ),i love a good steven king movie,1,1
how can i help you today?,which once that i recommended would you like to watch?,0,0
"grand hotel ( 1932 ) is another favorite old movie of mine, though it doesn't have the same hard - boiled feel to it",have you seen sleeping beauty ( 2011 ) it's a classic,0,1
